state,city,RDPC
AM,Anamã/AM,226.82
PA,Ananindeua/PA,564.76
TO,Ananás/TO,380.36
PA,Anapu/PA,266.28
MA,Anapurus/MA,192.8
MS,Anastácio/MS,495.48
MS,Anaurilândia/MS,538.13
ES,Anchieta/ES,608.42
SC,Anchieta/SC,636.15
BA,Andaraí/BA,230.36
PR,Andirá/PR,587.51
BA,Andorinha/BA,305.81
MG,Andradas/MG,754.39
SP,Andradina/SP,919.36
MG,Andrelândia/MG,534.68
RS,André da Rocha/RS,792.19
SP,Angatuba/SP,597.99
PE,Angelim/PE,253.26
SC,Angelina/SC,618.55
MG,Angelândia/MG,322.8
PI,Angical do Piauí/PI,356.17
BA,Angical/BA,266.89
TO,Angico/TO,288.86
RN,Angicos/RN,347.65
RJ,Angra dos Reis/RJ,798.68
BA,Anguera/BA,269.0
MS,Angélica/MS,592.27
GO,Anhanguera/GO,721.84
SP,Anhembi/SP,554.16
SP,Anhumas/SP,561.82
GO,Anicuns/GO,604.97
SC,Anita Garibaldi/SC,506.94
SC,Anitápolis/SC,620.8
AM,Anori/AM,229.94
RS,Anta Gorda/RS,810.41
BA,Antas/BA,283.59
CE,Antonina do Norte/CE,244.83
PR,Antonina/PR,572.38
PI,Antônio Almeida/PI,293.53
BA,Antônio Cardoso/BA,236.86
MG,Antônio Carlos/MG,457.02
SC,Antônio Carlos/SC,952.53
MG,Antônio Dias/MG,387.61
BA,Antônio Gonçalves/BA,295.7
MS,Antônio João/MS,411.49
RN,Antônio Martins/RN,251.04
PR,Antônio Olinto/PR,393.68
MG,Antônio Prado de Minas/MG,529.54
RS,Antônio Prado/RS,1004.85
GO,Anápolis/GO,785.17
PI,Anísio de Abreu/PI,221.91
SP,Aparecida d'Oeste/SP,611.22
GO,Aparecida de Goiânia/GO,689.3
GO,Aparecida do Rio Doce/GO,623.58
TO,Aparecida do Rio Negro/TO,320.54
MS,Aparecida do Taboado/MS,692.79
PB,Aparecida/PB,271.98
SP,Aparecida/SP,775.17
RJ,Aperibé/RJ,516.14
ES,Apiacá/ES,482.94
MT,Apiacás/MT,504.04
SP,Apiaí/SP,492.43
MA,Apicum-Açu/MA,215.17
SC,Apiúna/SC,776.69
RN,Apodi/RN,358.66
BA,Aporá/BA,199.04
GO,Aporé/GO,595.05
BA,Apuarema/BA,252.3
PR,Apucarana/PR,804.81
CE,Apuiarés/CE,224.63
AM,Apuí/AM,380.62
SE,Aquidabã/SE,282.19
MS,Aquidauana/MS,585.62
CE,Aquiraz/CE,352.6
SC,Arabutã/SC,820.78
SE,Aracaju/SE,1052.03
CE,Aracati/CE,349.26
BA,Aracatu/BA,316.6
BA,Araci/BA,221.98
MG,Aracitaba/MG,351.6
CE,Aracoiaba/CE,245.24
ES,Aracruz/ES,695.25
GO,Aragarças/GO,600.03
GO,Aragoiânia/GO,560.22
TO,Aragominas/TO,357.45
TO,Araguacema/TO,308.94
MT,Araguaiana/MT,519.03
MT,Araguainha/MT,456.43
MA,Araguanã/MA,161.57
TO,Araguanã/TO,372.96
GO,Araguapaz/GO,608.17
MG,Araguari/MG,798.63
TO,Araguatins/TO,342.07
TO,Araguaçu/TO,435.22
TO,Araguaína/TO,737.63
MA,Araioses/MA,175.81
MS,Aral Moreira/MS,398.5
BA,Aramari/BA,274.61
RS,Arambaré/RS,599.72
MA,Arame/MA,210.09
SP,Aramina/SP,721.56
SP,Arandu/SP,535.27
MG,Arantina/MG,411.16
SP,Arapeí/SP,414.19
AL,Arapiraca/AL,423.28
TO,Arapoema/TO,442.33
MG,Araponga/MG,328.75
PR,Arapongas/PR,855.02
MG,Araporã/MG,536.04
PR,Arapoti/PR,684.8
MT,Araputanga/MT,639.18
MG,Arapuá/MG,696.47
PR,Arapuã/PR,424.27
SC,Araquari/SC,609.76
PB,Arara/PB,276.67
SC,Araranguá/SC,827.2
SP,Araraquara/SP,1080.66
SP,Araras/SP,921.76
CE,Ararendá/CE,205.43
MA,Arari/MA,308.83
RS,Araricá/RS,609.69
CE,Araripe/CE,197.14
PE,Araripina/PE,324.01
RJ,Araruama/RJ,680.88
PB,Araruna/PB,244.02
PR,Araruna/PR,566.78
BA,Arataca/BA,256.14
RS,Aratiba/RS,1171.7
CE,Aratuba/CE,215.94
BA,Aratuípe/BA,278.23
PR,Araucária/PR,814.39
SE,Arauá/SE,245.7
MG,Araxá/MG,883.88
PB,Araçagi/PB,230.52
SP,Araçariguama/SP,691.69
SP,Araçatuba/SP,1036.09
MG,Araçaí/MG,482.4
SP,Araçoiaba da Serra/SP,853.87
PE,Araçoiaba/PE,236.1
GO,Araçu/GO,571.55
MG,Araçuaí/MG,410.67
BA,Araçás/BA,230.75
MG,Araújos/MG,599.3
MG,Arceburgo/MG,576.68
SP,Arco-Íris/SP,520.01
MG,Arcos/MG,691.16
PE,Arcoverde/PE,469.53
MG,Areado/MG,622.83
RJ,Areal/RJ,571.74
SP,Arealva/SP,697.3
