state,city,RDPC
PE,Cabo de Santo Agostinho/PE,467.07
SP,Cabreúva/SP,694.03
PE,Cabrobó/PE,298.14
SP,Cabrália Paulista/SP,507.41
RO,Cacaulândia/RO,499.93
RS,Cacequi/RS,550.88
GO,Cachoeira Alta/GO,853.32
GO,Cachoeira Dourada/GO,636.17
MG,Cachoeira Dourada/MG,606.15
MA,Cachoeira Grande/MA,110.65
SP,Cachoeira Paulista/SP,764.6
MG,Cachoeira da Prata/MG,583.28
GO,Cachoeira de Goiás/GO,549.16
MG,Cachoeira de Minas/MG,527.44
MG,Cachoeira de Pajeú/MG,265.27
PA,Cachoeira do Arari/PA,209.79
PA,Cachoeira do Piriá/PA,130.4
RS,Cachoeira do Sul/RS,793.67
PB,Cachoeira dos Índios/PB,301.77
BA,Cachoeira/BA,368.11
RJ,Cachoeiras de Macacu/RJ,604.45
PE,Cachoeirinha/PE,308.18
RS,Cachoeirinha/RS,844.04
TO,Cachoeirinha/TO,241.7
ES,Cachoeiro de Itapemirim/ES,763.71
PB,Cacimba de Areia/PB,249.79
PB,Cacimba de Dentro/PB,246.21
PB,Cacimbas/PB,181.17
AL,Cacimbinhas/AL,259.72
RS,Cacique Doble/RS,539.67
RO,Cacoal/RO,738.06
SP,Caconde/SP,627.0
BA,Caculé/BA,382.15
BA,Caetanos/BA,224.38
MG,Caetanópolis/MG,531.65
BA,Caetité/BA,405.31
MG,Caeté/MG,586.16
PE,Caetés/PE,176.77
BA,Cafarnaum/BA,251.31
PR,Cafeara/PR,560.67
PR,Cafelândia/PR,721.38
SP,Cafelândia/SP,680.71
PR,Cafezal do Sul/PR,569.82
SP,Caiabu/SP,559.13
MG,Caiana/MG,406.23
GO,Caiapônia/GO,628.14
RS,Caibaté/RS,659.58
SC,Caibi/SC,783.57
RN,Caicó/RN,637.13
SP,Caieiras/SP,800.15
BA,Cairu/BA,334.19
SP,Caiuá/SP,500.47
RN,Caiçara do Norte/RN,280.53
RN,Caiçara do Rio do Vento/RN,250.07
PB,Caiçara/PB,294.68
RS,Caiçara/RS,712.77
SP,Cajamar/SP,676.5
MA,Cajapió/MA,145.01
MA,Cajari/MA,136.39
SP,Cajati/SP,481.48
PI,Cajazeiras do Piauí/PI,210.45
PB,Cajazeiras/PB,511.56
PB,Cajazeirinhas/PB,205.12
SP,Cajobi/SP,679.75
PI,Cajueiro da Praia/PI,246.88
AL,Cajueiro/AL,232.85
MG,Cajuri/MG,333.45
SP,Cajuru/SP,597.11
PB,Caldas Brandão/PB,264.06
GO,Caldas Novas/GO,794.78
MG,Caldas/MG,627.21
GO,Caldazinha/GO,515.56
PI,Caldeirão Grande do Piauí/PI,262.36
BA,Caldeirão Grande/BA,211.26
PR,Califórnia/PR,698.38
SC,Calmon/SC,373.86
PE,Calumbi/PE,272.66
PE,Calçado/PE,215.47
AP,Calçoene/AP,417.71
BA,Camacan/BA,351.84
MG,Camacho/MG,425.8
PB,Camalaú/PB,242.92
BA,Camamu/BA,264.63
MG,Camanducaia/MG,649.49
MS,Camapuã/MS,685.77
RS,Camaquã/RS,686.36
PE,Camaragibe/PE,473.78
RS,Camargo/RS,916.32
BA,Camaçari/BA,553.18
RS,Cambará do Sul/RS,643.45
PR,Cambará/PR,666.89
PR,Cambira/PR,630.19
SC,Camboriú/SC,781.76
RJ,Cambuci/RJ,524.88
MG,Cambuquira/MG,588.83
MG,Cambuí/MG,712.9
PR,Cambé/PR,723.34
PA,Cametá/PA,226.99
PE,Camocim de São Félix/PE,305.53
CE,Camocim/CE,269.0
MG,Campanha/MG,686.16
MG,Campanário/MG,350.46
RS,Campestre da Serra/RS,675.91
GO,Campestre de Goiás/GO,398.5
MA,Campestre do Maranhão/MA,358.0
AL,Campestre/AL,245.43
MG,Campestre/MG,669.87
PR,Campina Grande do Sul/PR,671.29
PB,Campina Grande/PB,630.03
MG,Campina Verde/MG,681.73
PR,Campina da Lagoa/PR,540.04
RS,Campina das Missões/RS,615.85
SP,Campina do Monte Alegre/SP,575.66
PR,Campina do Simão/PR,330.48
PI,Campinas do Piauí/PI,209.0
RS,Campinas do Sul/RS,869.1
SP,Campinas/SP,1390.83
GO,Campinaçu/GO,438.93
GO,Campinorte/GO,567.41
MT,Campinápolis/MT,328.15
GO,Campo Alegre de Goiás/GO,632.7
BA,Campo Alegre de Lourdes/BA,199.01
PI,Campo Alegre do Fidalgo/PI,213.61
AL,Campo Alegre/AL,217.72
SC,Campo Alegre/SC,539.9
MG,Campo Azul/MG,244.97
SC,Campo Belo do Sul/SC,450.29
MG,Campo Belo/MG,646.71
RS,Campo Bom/RS,879.65
PR,Campo Bonito/PR,585.04
SC,Campo Erê/SC,631.08
MG,Campo Florido/MG,774.88
BA,Campo Formoso/BA,270.05
PI,Campo Grande do Piauí/PI,237.66
AL,Campo Grande/AL,181.54
MS,Campo Grande/MS,1089.37
RN,Campo Grande/RN,388.39
PI,Campo Largo do Piauí/PI,158.02
PR,Campo Largo/PR,749.21
SP,Campo Limpo Paulista/SP,767.85
GO,Campo Limpo de Goiás/GO,467.42
PR,Campo Magro/PR,567.04
PI,Campo Maior/PI,401.74
PR,Campo Mourão/PR,843.42
RO,Campo Novo de Rondônia/RO,507.69
MT,Campo Novo do Parecis/MT,823.32
RS,Campo Novo/RS,539.04
RN,Campo Redondo/RN,251.73
MT,Campo Verde/MT,878.37
SE,Campo do Brito/SE,391.94
MG,Campo do Meio/MG,472.71
PR,Campo do Tenente/PR,488.06
MG,Campos Altos/MG,587.21
GO,Campos Belos/GO,487.96
RS,Campos Borges/RS,637.46
MG,Campos Gerais/MG,503.91
TO,Campos Lindos/TO,292.64
SP,Campos Novos Paulista/SP,516.26
SC,Campos Novos/SC,708.77
CE,Campos Sales/CE,303.68
GO,Campos Verdes/GO,351.52
MT,Campos de Júlio/MT,1162.4
SP,Campos do Jordão/SP,911.4
RJ,Campos dos Goytacazes/RJ,682.59
PE,Camutanga/PE,278.04
MG,Cana Verde/MG,463.1
MT,Canabrava do Norte/MT,370.81
SP,Cananéia/SP,540.54
AL,Canapi/AL,183.83
BA,Canarana/BA,252.39
MT,Canarana/MT,774.65
SP,Canas/SP,444.72
PI,Canavieira/PI,209.47
BA,Canavieiras/BA,325.61
PA,Canaã dos Carajás/PA,517.33
MG,Canaã/MG,439.71
BA,Candeal/BA,251.54
RO,Candeias do Jamari/RO,463.63
BA,Candeias/BA,462.57
MG,Candeias/MG,621.22
RS,Candelária/RS,620.92
BA,Candiba/BA,290.99
RS,Candiota/RS,638.77
PR,Candói/PR,472.4
RS,Canela/RS,787.78
SC,Canelinha/SC,721.27
RN,Canguaretama/RN,256.22
RS,Canguçu/RS,562.54
SE,Canhoba/SE,249.3
PE,Canhotinho/PE,234.75
SE,Canindé de São Francisco/SE,270.17
CE,Canindé/CE,278.9
SP,Canitar/SP,480.52
RS,Canoas/RS,952.13
SC,Canoinhas/SC,692.87
BA,Cansanção/BA,216.24
MG,Cantagalo/MG,329.9
PR,Cantagalo/PR,424.57
RJ,Cantagalo/RJ,641.61
MA,Cantanhede/MA,176.61
PI,Canto do Buriti/PI,279.71
RR,Cantá/RR,297.59
RS,Canudos do Vale/RS,854.58
BA,Canudos/BA,251.59
AM,Canutama/AM,206.44
BA,Canápolis/BA,217.86
MG,Canápolis/MG,711.27
PA,Capanema/PA,356.27
PR,Capanema/PR,701.11
MG,Caparaó/MG,364.52
MG,Capela Nova/MG,338.43
RS,Capela de Santana/RS,533.88
BA,Capela do Alto Alegre/BA,299.05
SP,Capela do Alto/SP,526.28
AL,Capela/AL,251.36
SE,Capela/SE,326.55
MG,Capelinha/MG,432.55
MG,Capetinga/MG,549.97
MG,Capim Branco/MG,497.48
BA,Capim Grosso/BA,378.85
PB,Capim/PB,203.67
MA,Capinzal do Norte/MA,200.15
SC,Capinzal/SC,811.66
MG,Capinópolis/MG,834.14
CE,Capistrano/CE,211.95
MG,Capitão Andrade/MG,403.35
MG,Capitão Enéas/MG,282.97
PI,Capitão Gervásio Oliveira/PI,182.53
PR,Capitão Leônidas Marques/PR,670.16
PA,Capitão Poço/PA,283.1
PI,Capitão de Campos/PI,248.79
RS,Capitão/RS,835.57
MG,Capitólio/MG,658.77
SC,Capivari de Baixo/SC,723.04
RS,Capivari do Sul/RS,1196.47
SP,Capivari/SP,820.46
AC,Capixaba/AC,336.17
PE,Capoeiras/PE,215.71
MG,Caputira/MG,353.65
SC,Capão Alto/SC,550.84
RS,Capão Bonito do Sul/RS,468.49
SP,Capão Bonito/SP,534.75
RS,Capão da Canoa/RS,884.47
RS,Capão do Cipó/RS,426.09
RS,Capão do Leão/RS,493.36
RR,Caracaraí/RR,336.05
MS,Caracol/MS,399.46
PI,Caracol/PI,221.08
SP,Caraguatatuba/SP,773.99
PR,Carambeí/PR,711.5
MG,Caranaíba/MG,319.88
MG,Carandaí/MG,495.09
MG,Carangola/MG,618.24
RJ,Carapebus/RJ,620.35
SP,Carapicuíba/SP,712.78
MG,Caratinga/MG,610.29
AM,Carauari/AM,222.32
BA,Caravelas/BA,394.43
RS,Carazinho/RS,881.73
RS,Caraá/RS,490.65
MG,Caraí/MG,244.29
BA,Caraíbas/BA,277.97
PI,Caraúbas do Piauí/PI,158.13
PB,Caraúbas/PB,296.38
RN,Caraúbas/RN,321.99
MG,Carbonita/MG,373.05
BA,Cardeal da Silva/BA,207.42
RJ,Cardoso Moreira/RJ,465.04
SP,Cardoso/SP,605.99
MG,Careaçu/MG,504.96
AM,Careiro da Várzea/AM,207.18
AM,Careiro/AM,197.06
ES,Cariacica/ES,620.89
PI,Caridade do Piauí/PI,203.34
CE,Caridade/CE,213.18
BA,Carinhanha/BA,209.51
SE,Carira/SE,297.74
TO,Cariri do Tocantins/TO,425.49
CE,Caririaçu/CE,243.1
CE,Cariré/CE,225.75
CE,Cariús/CE,239.39
MT,Carlinda/MT,474.83
RS,Carlos Barbosa/RS,1446.56
MG,Carlos Chagas/MG,432.37
RS,Carlos Gomes/RS,761.35
PR,Carlópolis/PR,608.82
MG,Carmo da Cachoeira/MG,525.35
MG,Carmo da Mata/MG,551.21
MG,Carmo de Minas/MG,511.95
MG,Carmo do Cajuru/MG,606.19
MG,Carmo do Paranaíba/MG,678.13
MG,Carmo do Rio Claro/MG,685.17
GO,Carmo do Rio Verde/GO,541.99
RJ,Carmo/RJ,559.66
TO,Carmolândia/TO,382.31
MG,Carmésia/MG,404.76
MG,Carmópolis de Minas/MG,599.63
SE,Carmópolis/SE,385.16
RN,Carnaubais/RN,300.27
CE,Carnaubal/CE,224.37
PE,Carnaubeira da Penha/PE,170.02
PE,Carnaíba/PE,229.87
RN,Carnaúba dos Dantas/RN,387.8
MG,Carneirinho/MG,847.07
AL,Carneiros/AL,199.58
RR,Caroebe/RR,334.97
MA,Carolina/MA,334.51
PE,Carpina/PE,403.76
MG,Carrancas/MG,576.62
PB,Carrapateira/PB,214.54
TO,Carrasco Bonito/TO,234.45
PE,Caruaru/PE,553.99
MA,Carutapera/MA,220.91
MG,Carvalhos/MG,506.24
MG,Carvalhópolis/MG,579.4
SP,Casa Branca/SP,737.96
MG,Casa Grande/MG,351.47
BA,Casa Nova/BA,289.24
RS,Casca/RS,1011.38
MG,Cascalho Rico/MG,769.71
CE,Cascavel/CE,309.14
PR,Cascavel/PR,1003.38
TO,Caseara/TO,447.52
RS,Caseiros/RS,606.99
RJ,Casimiro de Abreu/RJ,768.45
PE,Casinhas/PE,200.83
PB,Casserengue/PB,171.37
MS,Cassilândia/MS,885.1
PA,Castanhal/PA,467.32
MT,Castanheira/MT,520.54
RO,Castanheiras/RO,455.53
PI,Castelo do Piauí/PI,270.82
ES,Castelo/ES,636.49
GO,Castelândia/GO,724.42
SP,Castilho/SP,579.36
BA,Castro Alves/BA,316.1
PR,Castro/PR,639.54
MG,Cataguases/MG,699.57
GO,Catalão/GO,959.4
SP,Catanduva/SP,945.05
PR,Catanduvas/PR,539.43
SC,Catanduvas/SC,717.59
CE,Catarina/CE,246.38
MG,Catas Altas da Noruega/MG,309.82
MG,Catas Altas/MG,502.15
PE,Catende/PE,292.74
SP,Catiguá/SP,771.78
PB,Catingueira/PB,249.16
BA,Catolândia/BA,251.21
PB,Catolé do Rocha/PB,371.92
BA,Catu/BA,486.05
MG,Catuji/MG,221.41
CE,Catunda/CE,225.43
BA,Caturama/BA,234.88
GO,Caturaí/GO,500.32
PB,Caturité/PB,371.05
MG,Catuti/MG,265.76
RS,Catuípe/RS,920.96
CE,Caucaia/CE,379.63
GO,Cavalcante/GO,324.92
SC,Caxambu do Sul/SC,730.36
MG,Caxambu/MG,963.25
RS,Caxias do Sul/RS,1253.93
MA,Caxias/MA,324.9
PI,Caxingó/PI,177.35
SC,Caçador/SC,744.28
RS,Caçapava do Sul/RS,618.98
SP,Caçapava/SP,871.87
GO,Caçu/GO,987.3
BA,Caém/BA,223.48
RN,Ceará-Mirim/RN,332.89
MA,Cedral/MA,202.86
SP,Cedral/SP,845.41
SE,Cedro de São João/SE,352.53
MG,Cedro do Abaeté/MG,431.2
CE,Cedro/CE,317.69
PE,Cedro/PE,269.64
SC,Celso Ramos/SC,458.62
PR,Centenário do Sul/PR,571.32
RS,Centenário/RS,651.77
TO,Centenário/TO,280.17
MG,Central de Minas/MG,494.1
MA,Central do Maranhão/MA,182.77
BA,Central/BA,231.1
MG,Centralina/MG,468.15
MA,Centro Novo do Maranhão/MA,188.88
MA,Centro do Guilherme/MA,190.58
RO,Cerejeiras/RO,577.18
GO,Ceres/GO,865.23
SP,Cerqueira César/SP,665.36
SP,Cerquilho/SP,894.52
RS,Cerrito/RS,476.66
PR,Cerro Azul/PR,342.88
RS,Cerro Branco/RS,519.95
RN,Cerro Corá/RN,282.84
RS,Cerro Grande do Sul/RS,527.88
RS,Cerro Grande/RS,538.45
RS,Cerro Largo/RS,862.05
SC,Cerro Negro/SC,414.6
SP,Cesário Lange/SP,684.95
GO,Cezarina/GO,564.44
MG,Chalé/MG,418.8
MG,Chapada Gaúcha/MG,282.53
TO,Chapada da Natividade/TO,315.34
TO,Chapada de Areia/TO,376.48
MG,Chapada do Norte/MG,279.92
MT,Chapada dos Guimarães/MT,540.98
RS,Chapada/RS,860.15
MA,Chapadinha/MA,251.75
GO,Chapadão do Céu/GO,841.5
SC,Chapadão do Lageado/SC,549.08
MS,Chapadão do Sul/MS,896.92
SC,Chapecó/SC,1017.34
SP,Charqueada/SP,705.01
RS,Charqueadas/RS,734.59
RS,Charrua/RS,618.89
CE,Chaval/CE,208.7
SP,Chavantes/SP,677.3
PA,Chaves/PA,198.83
MG,Chiador/MG,808.78
RS,Chiapetta/RS,632.18
PR,Chopinzinho/PR,802.23
CE,Chorozinho/CE,277.4
BA,Chorrochó/BA,248.5
CE,Choró/CE,171.62
RO,Chupinguaia/RO,483.36
RS,Chuvisca/RS,471.66
RS,Chuí/RS,535.86
MG,Chácara/MG,456.42
PE,Chã Grande/PE,341.34
AL,Chã Preta/AL,226.6
PE,Chã de Alegria/PE,239.04
PR,Cianorte/PR,837.13
PR,Cidade Gaúcha/PR,671.1
GO,Cidade Ocidental/GO,647.64
MA,Cidelândia/MA,263.53
RS,Cidreira/RS,750.55
MG,Cipotânea/MG,317.62
BA,Cipó/BA,312.03
RS,Ciríaco/RS,725.12
MG,Claraval/MG,575.11
MG,Claro dos Poções/MG,337.07
SP,Clementina/SP,640.87
PR,Clevelândia/PR,696.71
MT,Cláudia/MT,700.38
MG,Cláudio/MG,625.88
BA,Coaraci/BA,366.33
AM,Coari/AM,347.2
PI,Cocal de Telha/PI,245.15
SC,Cocal do Sul/SC,833.24
PI,Cocal dos Alves/PI,183.59
PI,Cocal/PI,198.58
MT,Cocalinho/MT,531.41
GO,Cocalzinho de Goiás/GO,450.47
BA,Cocos/BA,258.27
AM,Codajás/AM,239.64
MA,Codó/MA,273.45
MA,Coelho Neto/MA,236.47
MG,Coimbra/MG,454.81
AL,Coité do Nóia/AL,203.15
PI,Coivaras/PI,234.94
PA,Colares/PA,231.98
ES,Colatina/ES,788.29
SP,Colina/SP,706.69
GO,Colinas do Sul/GO,410.83
TO,Colinas do Tocantins/TO,587.11
MA,Colinas/MA,279.81
RS,Colinas/RS,1066.39
TO,Colméia/TO,442.96
MT,Colniza/MT,411.69
PR,Colombo/PR,682.85
RO,Colorado do Oeste/RO,535.41
PR,Colorado/PR,833.7
RS,Colorado/RS,996.93
MG,Coluna/MG,315.0
MT,Colíder/MT,758.67
SP,Colômbia/SP,582.53
AL,Colônia Leopoldina/AL,242.28
PI,Colônia do Gurguéia/PI,291.37
PI,Colônia do Piauí/PI,277.73
TO,Combinado/TO,455.39
MG,Comendador Gomes/MG,635.2
RJ,Comendador Levy Gasparian/RJ,537.66
MG,Comercinho/MG,271.4
MT,Comodoro/MT,573.89
MG,Conceição da Aparecida/MG,579.34
MG,Conceição da Barra de Minas/MG,511.91
ES,Conceição da Barra/ES,450.71
BA,Conceição da Feira/BA,348.39
MG,Conceição das Alagoas/MG,770.02
MG,Conceição das Pedras/MG,434.68
MG,Conceição de Ipanema/MG,497.4
RJ,Conceição de Macabu/RJ,614.57
BA,Conceição do Almeida/BA,290.98
PA,Conceição do Araguaia/PA,405.29
PI,Conceição do Canindé/PI,258.93
ES,Conceição do Castelo/ES,567.83
BA,Conceição do Coité/BA,309.61
BA,Conceição do Jacuípe/BA,403.18
MA,Conceição do Lago-Açu/MA,170.79
MG,Conceição do Mato Dentro/MG,384.42
MG,Conceição do Pará/MG,576.48
MG,Conceição do Rio Verde/MG,533.38
TO,Conceição do Tocantins/TO,310.96
MG,Conceição dos Ouros/MG,509.52
PB,Conceição/PB,290.63
SP,Conchal/SP,617.76
SP,Conchas/SP,730.42
PA,Concórdia do Pará/PA,260.68
SC,Concórdia/SC,1009.49
PB,Condado/PB,282.25
PE,Condado/PE,297.68
BA,Conde/BA,246.81
PB,Conde/PB,316.81
BA,Condeúba/BA,260.07
RS,Condor/RS,777.62
MG,Confins/MG,647.2
MT,Confresa/MT,484.89
PB,Congo/PB,263.84
MG,Congonhal/MG,553.81
MG,Congonhas do Norte/MG,270.3
MG,Congonhas/MG,760.35
PR,Congonhinhas/PR,471.57
MT,Conquista D'Oeste/MT,650.3
MG,Conquista/MG,678.21
MG,Conselheiro Lafaiete/MG,781.59
PR,Conselheiro Mairinck/PR,534.5
MG,Conselheiro Pena/MG,445.95
MG,Consolação/MG,395.33
RS,Constantina/RS,732.39
MG,Contagem/MG,824.3
PR,Contenda/PR,612.8
BA,Contendas do Sincorá/BA,293.12
MG,Coqueiral/MG,495.77
RS,Coqueiro Baixo/RS,634.31
AL,Coqueiro Seco/AL,299.47
RS,Coqueiros do Sul/RS,1208.56
MG,Coração de Jesus/MG,287.28
BA,Coração de Maria/BA,257.21
PR,Corbélia/PR,743.65
RJ,Cordeiro/RJ,724.29
BA,Cordeiros/BA,263.24
SP,Cordeirópolis/SP,873.87
SC,Cordilheira Alta/SC,773.44
MG,Cordisburgo/MG,440.09
MG,Cordislândia/MG,468.59
CE,Coreaú/CE,210.65
PB,Coremas/PB,291.3
MS,Corguinho/MS,566.09
BA,Coribe/BA,237.03
MG,Corinto/MG,499.56
PR,Cornélio Procópio/PR,828.19
MG,Coroaci/MG,362.9
SP,Coroados/SP,638.21
MA,Coroatá/MA,237.3
MG,Coromandel/MG,753.35
RS,Coronel Barros/RS,1112.14
RS,Coronel Bicaco/RS,509.04
PR,Coronel Domingos Soares/PR,353.16
RN,Coronel Ezequiel/RN,238.25
MG,Coronel Fabriciano/MG,685.48
SC,Coronel Freitas/SC,759.01
PI,Coronel José Dias/PI,200.41
RN,Coronel João Pessoa/RN,243.22
BA,Coronel João Sá/BA,238.18
SP,Coronel Macedo/SP,465.29
SC,Coronel Martins/SC,543.22
MG,Coronel Murta/MG,291.66
MG,Coronel Pacheco/MG,525.62
RS,Coronel Pilar/RS,942.36
MS,Coronel Sapucaia/MS,350.37
PR,Coronel Vivida/PR,679.98
MG,Coronel Xavier Chaves/MG,518.32
SC,Correia Pinto/SC,628.18
PI,Corrente/PI,378.39
PE,Correntes/PE,247.2
BA,Correntina/BA,285.96
PE,Cortês/PE,232.22
PR,Corumbataí do Sul/PR,409.02
SP,Corumbataí/SP,741.32
GO,Corumbaíba/GO,635.98
RO,Corumbiara/RO,402.15
GO,Corumbá de Goiás/GO,503.01
MS,Corumbá/MS,627.1
SC,Corupá/SC,951.63
AL,Coruripe/AL,315.85
SP,Cosmorama/SP,643.1
SP,Cosmópolis/SP,829.25
RO,Costa Marques/RO,370.77
MS,Costa Rica/MS,693.05
BA,Cotegipe/BA,237.5
SP,Cotia/SP,1085.66
RS,Cotiporã/RS,943.48
MT,Cotriguaçu/MT,387.24
TO,Couto Magalhães/TO,284.33
MG,Couto de Magalhães de Minas/MG,333.91
RS,Coxilha/RS,596.9
MS,Coxim/MS,703.01
PB,Coxixola/PB,306.15
CE,Crateús/CE,373.18
CE,Crato/CE,470.46
SP,Cravinhos/SP,784.4
BA,Cravolândia/BA,259.87
AL,Craíbas/AL,199.54
SC,Criciúma/SC,1062.53
RS,Crissiumal/RS,630.54
SP,Cristais Paulista/SP,721.31
MG,Cristais/MG,780.18
RS,Cristal do Sul/RS,430.67
RS,Cristal/RS,575.45
GO,Cristalina/GO,686.9
PI,Cristalândia do Piauí/PI,204.49
TO,Cristalândia/TO,495.57
MG,Cristiano Otoni/MG,458.68
GO,Cristianópolis/GO,635.46
MG,Cristina/MG,442.25
PI,Cristino Castro/PI,307.32
SE,Cristinápolis/SE,229.99
MG,Cristália/MG,200.51
BA,Cristópolis/BA,239.23
MG,Crisólita/MG,294.11
BA,Crisópolis/BA,232.6
TO,Crixás do Tocantins/TO,341.27
GO,Crixás/GO,645.4
CE,Croatá/CE,176.12
GO,Cromínia/GO,592.36
MG,Crucilândia/MG,464.17
RS,Cruz Alta/RS,871.81
PR,Cruz Machado/PR,414.98
BA,Cruz das Almas/BA,481.8
PB,Cruz do Espírito Santo/PB,217.47
CE,Cruz/CE,282.51
RS,Cruzaltense/RS,723.18
MG,Cruzeiro da Fortaleza/MG,707.8
PR,Cruzeiro do Iguaçu/PR,636.1
PR,Cruzeiro do Oeste/PR,617.44
AC,Cruzeiro do Sul/AC,450.06
PR,Cruzeiro do Sul/PR,558.9
RS,Cruzeiro do Sul/RS,832.23
SP,Cruzeiro/SP,809.24
RN,Cruzeta/RN,339.38
PR,Cruzmaltina/PR,456.21
SP,Cruzália/SP,614.17
MG,Cruzília/MG,520.72
PB,Cubati/PB,237.71
SP,Cubatão/SP,689.21
MT,Cuiabá/MT,1161.49
PB,Cuitegi/PB,265.78
PB,Cuité de Mamanguape/PB,214.92
PB,Cuité/PB,284.57
RO,Cujubim/RO,495.31
GO,Cumari/GO,819.81
PA,Cumaru do Norte/PA,417.06
PE,Cumaru/PE,249.32
SE,Cumbe/SE,288.67
SC,Cunha Porã/SC,821.86
SP,Cunha/SP,525.19
SC,Cunhataí/SC,1009.05
MG,Cuparaque/MG,381.64
PE,Cupira/PE,336.81
BA,Curaçá/BA,236.77
PI,Curimatá/PI,285.52
PA,Curionópolis/PA,319.35
PR,Curitiba/PR,1581.04
SC,Curitibanos/SC,687.47
PR,Curiúva/PR,455.24
RN,Currais Novos/RN,526.96
PI,Currais/PI,168.68
PI,Curral Novo do Piauí/PI,186.24
PB,Curral Velho/PB,362.28
PB,Curral de Cima/PB,214.4
MG,Curral de Dentro/MG,279.64
PA,Curralinho/PA,188.88
PI,Curralinhos/PI,193.65
MA,Cururupu/MA,274.39
PA,Curuá/PA,180.94
PA,Curuçá/PA,233.96
MG,Curvelo/MG,581.65
MT,Curvelândia/MT,480.92
PE,Custódia/PE,350.0
AP,Cutias/AP,287.41
MT,Cáceres/MT,590.43
SP,Cássia dos Coqueiros/SP,551.4
MG,Cássia/MG,717.84
RS,Cândido Godói/RS,706.19
MA,Cândido Mendes/MA,203.94
SP,Cândido Mota/SP,627.55
SP,Cândido Rodrigues/SP,837.17
BA,Cândido Sales/BA,268.57
PR,Cândido de Abreu/PR,438.62
PR,Céu Azul/PR,759.41
BA,Cícero Dantas/BA,315.19
MG,Córrego Danta/MG,561.81
MG,Córrego Fundo/MG,477.36
MG,Córrego Novo/MG,327.06
MG,Córrego do Bom Jesus/MG,501.15
GO,Córrego do Ouro/GO,608.31
MG,Cônego Marinho/MG,245.64
GO,Damianópolis/GO,364.51
PB,Damião/PB,182.89
GO,Damolândia/GO,578.93
TO,Darcinópolis/TO,327.64
MG,Datas/MG,313.84
RS,David Canabarro/RS,798.91
GO,Davinópolis/GO,632.22
MA,Davinópolis/MA,263.12
MG,Delfim Moreira/MG,454.36
MG,Delfinópolis/MG,632.28
AL,Delmiro Gouveia/AL,332.13
MG,Delta/MG,523.34
PI,Demerval Lobão/PI,311.48
MT,Denise/MT,524.91
MS,Deodápolis/MS,596.5
CE,Deputado Irapuan Pinheiro/CE,233.15
RS,Derrubadas/RS,497.31
SP,Descalvado/SP,798.74
SC,Descanso/SC,804.31
MG,Descoberto/MG,477.97
MG,Desterro de Entre Rios/MG,348.88
MG,Desterro do Melo/MG,373.25
PB,Desterro/PB,247.16
RS,Dezesseis de Novembro/RS,391.3
SP,Diadema/SP,694.55
PR,Diamante D'Oeste/PR,447.57
PR,Diamante do Norte/PR,619.39
PR,Diamante do Sul/PR,344.73
PB,Diamante/PB,264.08
MG,Diamantina/MG,597.41
MT,Diamantino/MT,681.66
TO,Dianópolis/TO,528.6
BA,Dias d'Ávila/BA,460.6
RS,Dilermando de Aguiar/RS,553.74
MG,Diogo de Vasconcelos/MG,291.48
SC,Dionísio Cerqueira/SC,636.41
MG,Dionísio/MG,461.02
GO,Diorama/GO,494.6
SP,Dirce Reis/SP,570.51
PI,Dirceu Arcoverde/PI,265.3
SE,Divina Pastora/SE,278.62
MG,Divino das Laranjeiras/MG,388.4
ES,Divino de São Lourenço/ES,383.78
MG,Divino/MG,426.94
MG,Divinolândia de Minas/MG,340.1
SP,Divinolândia/SP,707.97
MG,Divinésia/MG,441.49
GO,Divinópolis de Goiás/GO,388.34
TO,Divinópolis do Tocantins/TO,507.04
MG,Divinópolis/MG,868.57
MG,Divisa Alegre/MG,341.94
MG,Divisa Nova/MG,484.91
MG,Divisópolis/MG,290.45
SP,Dobrada/SP,589.47
SP,Dois Córregos/SP,727.28
RS,Dois Irmãos das Missões/RS,446.59
MS,Dois Irmãos do Buriti/MS,429.18
TO,Dois Irmãos do Tocantins/TO,245.98
RS,Dois Irmãos/RS,921.37
RS,Dois Lajeados/RS,992.68
AL,Dois Riachos/AL,194.81
PR,Dois Vizinhos/PR,836.1
SP,Dolcinópolis/SP,620.98
MT,Dom Aquino/MT,575.47
BA,Dom Basílio/BA,240.83
MG,Dom Bosco/MG,394.72
MG,Dom Cavati/MG,485.9
PA,Dom Eliseu/PA,348.04
PI,Dom Expedito Lopes/PI,300.31
RS,Dom Feliciano/RS,409.72
PI,Dom Inocêncio/PI,177.27
MG,Dom Joaquim/MG,355.58
BA,Dom Macedo Costa/BA,329.93
RS,Dom Pedrito/RS,686.15
RS,Dom Pedro de Alcântara/RS,611.05
MA,Dom Pedro/MA,298.33
MG,Dom Silvério/MG,488.84
MG,Dom Viçoso/MG,371.63
ES,Domingos Martins/ES,551.74
PI,Domingos Mourão/PI,240.24
SC,Dona Emma/SC,918.49
MG,Dona Euzébia/MG,563.76
RS,Dona Francisca/RS,698.57
PB,Dona Inês/PB,208.12
MG,Dores de Campos/MG,520.98
MG,Dores de Guanhães/MG,361.09
MG,Dores do Indaiá/MG,663.62
ES,Dores do Rio Preto/ES,414.87
MG,Dores do Turvo/MG,363.3
MG,Doresópolis/MG,461.8
PE,Dormentes/PE,257.72
MS,Douradina/MS,648.98
